game_uuid,genre_id
E576C32E-1F68-4C68-8847-BCFFDEFCFBCE,13
E576C32E-1F68-4C68-8847-BCFFDEFCFBCE,15
6EFB6116-6080-4CB7-B596-FE1DA75AC501,13
6EFB6116-6080-4CB7-B596-FE1DA75AC501,15
9928789E-86CF-47C3-A9FB-F5579C85D3B0,32
9928789E-86CF-47C3-A9FB-F5579C85D3B0,35
9928789E-86CF-47C3-A9FB-F5579C85D3B0,15
B8E17BBC-BEA6-4504-B2D1-6B0BF16ECDB4,13
B8E17BBC-BEA6-4504-B2D1-6B0BF16ECDB4,15
22F23AE0-EE5D-4B9B-8537-9ED0AEBD8B2B,11
22F23AE0-EE5D-4B9B-8537-9ED0AEBD8B2B,15
76357420-9EC7-4FEB-AC44-10B9E4FE16F0,9
76357420-9EC7-4FEB-AC44-10B9E4FE16F0,8
76357420-9EC7-4FEB-AC44-10B9E4FE16F0,5
59FF7B78-FA85-4A11-942C-D8575008730B,9
59FF7B78-FA85-4A11-942C-D8575008730B,31
59FF7B78-FA85-4A11-942C-D8575008730B,5
59FF7B78-FA85-4A11-942C-D8575008730B,8
F2C4CA3B-420C-43EE-AD86-5F40A8484FA5,8
F2C4CA3B-420C-43EE-AD86-5F40A8484FA5,31
588B58A9-1A6F-4D77-AC8F-67AA103EE51C,32
588B58A9-1A6F-4D77-AC8F-67AA103EE51C,13
588B58A9-1A6F-4D77-AC8F-67AA103EE51C,31
A8111830-2F63-4155-9224-9F3C1C15B532,31
A8111830-2F63-4155-9224-9F3C1C15B532,8
A8111830-2F63-4155-9224-9F3C1C15B532,5
242406B1-C735-4973-8F10-2382A2A21E05,31
242406B1-C735-4973-8F10-2382A2A21E05,8
242406B1-C735-4973-8F10-2382A2A21E05,5
6A21646E-CC63-4CD6-BFED-9FA506A86ACE,31
6A21646E-CC63-4CD6-BFED-9FA506A86ACE,5
E56A50E6-6CC1-45AE-A8A4-90E8FFA41498,5
6CD6AB76-2A41-457E-8DB9-CE94E98D5DD8,7
